m5dn.xlarge,unavailable
r5ad.16xlarge,4.192000
m5a.2xlarge,0.222000
m5n.metal,unavailable
m5ad.2xlarge,0.268000
r5b.xlarge,0.298000
r5n.12xlarge,3.576000
i2.2xlarge,1.705000
r5ad.xlarge,0.262000
g3s.xlarge,0.750000
r5n.xlarge,0.298000
m5a.4xlarge,0.444000
c5ad.xlarge,0.172000
r5dn.xlarge,0.334000
i2.xlarge,0.853000
m5n.16xlarge,unavailable
t2.micro,0.011600
inf1.xlarge,0.228000
r6gd.16xlarge,3.686400
r5n.24xlarge,7.152000
r5dn.metal,8.016000
i2.8xlarge,6.820000
r5dn.8xlarge,2.672000
r5a.8xlarge,1.808000
r6g.medium,0.050400
r6g.12xlarge,2.419200
a1.metal,0.408000
t4g.micro,0.008400
r5b.large,0.149000
m5a.xlarge,0.111000
c6gn.8xlarge,1.382400
m5n.24xlarge,unavailable
c6g.2xlarge,0.272000
t2.2xlarge,0.371200
r5b.16xlarge,4.768000
t2.large,0.092800
c3.4xlarge,0.840000
m5a.16xlarge,1.778000
r5a.large,0.113000
c3.large,0.105000
c6gd.medium,0.038400
inf1.24xlarge,4.721000
r5a.24xlarge,5.424000
a1.2xlarge,0.204000
m5ad.xlarge,0.134000
c6gd.metal,2.457600
m5dn.24xlarge,unavailable
m5dn.metal,unavailable
m5a.large,0.056000
r5n.large,0.149000
r3.large,0.166000
m5dn.16xlarge,unavailable
r5n.2xlarge,0.596000
r5dn.16xlarge,5.344000
m6g.xlarge,0.154000
m3.2xlarge,0.532000
c3.2xlarge,0.420000
c5a.xlarge,0.154000
m5a.12xlarge,1.333000
r3.xlarge,0.333000
m5n.12xlarge,unavailable
m5ad.large,0.067000
m6g.2xlarge,0.308000
x2gd.2xlarge,0.668000
i2.4xlarge,3.410000
r5n.16xlarge,4.768000
r5a.16xlarge,3.616000
c6gn.12xlarge,2.073600
r5n.8xlarge,2.384000
g4ad.8xlarge,1.734000
m5dn.large,unavailable
r6gd.12xlarge,2.764800
r6g.2xlarge,0.403200
m3.large,0.133000
c6gd.12xlarge,1.843200
r5b.24xlarge,7.152000
r5n.4xlarge,1.192000
m5n.2xlarge,unavailable
r5ad.12xlarge,3.144000
m5dn.12xlarge,unavailable
c6gd.2xlarge,0.307200
r5ad.2xlarge,0.524000
c5a.2xlarge,0.308000
t2.xlarge,0.185600
c3.8xlarge,1.680000
m3.medium,0.067000
g4ad.xlarge,0.378530
r5dn.2xlarge,0.668000
inf1.2xlarge,0.362000
m5a.8xlarge,0.889000
c3.xlarge,0.210000
r5a.2xlarge,0.452000
t2.small,0.023000
c6gn.xlarge,0.172800
m6g.8xlarge,1.232000
x2gd.xlarge,0.334000
m6g.medium,0.038500
m1.xlarge,0.350000
r5b.12xlarge,3.576000
m5n.xlarge,unavailable
c5a.12xlarge,1.848000
m6g.16xlarge,2.464000
m3.xlarge,0.266000
m1.medium,0.087000
t3a.medium,0.037600
r5n.metal,7.152000
m5dn.4xlarge,unavailable
r5ad.24xlarge,6.288000
r3.2xlarge,0.665000
m6gd.12xlarge,2.169600
r6g.8xlarge,1.612800
r5dn.4xlarge,1.336000
c5a.8xlarge,1.232000
r6g.metal,3.225600
m5ad.4xlarge,0.537000
c6g.4xlarge,0.544000
inf1.6xlarge,1.180000
g4ad.4xlarge,0.867000
g4ad.2xlarge,0.541170
r6gd.2xlarge,0.460800
c6gd.16xlarge,2.457600
m6gd.2xlarge,0.361600
r5a.4xlarge,0.904000
r5b.metal,7.152000
m1.small,0.044000
c5ad.8xlarge,1.376000
a1.xlarge,0.102000
r5b.8xlarge,2.384000
r6gd.8xlarge,1.843200
c6g.16xlarge,2.176000
r6g.16xlarge,3.225600
x2gd.metal,5.344000
c6g.xlarge,0.136000
c5ad.24xlarge,4.128000
m6gd.large,0.090400
t4g.large,0.067200
m5n.large,unavailable
r5b.2xlarge,0.596000
m5dn.8xlarge,unavailable
r5dn.large,0.167000
c5ad.16xlarge,2.752000
r5a.xlarge,0.226000
m5n.4xlarge,unavailable
m5ad.24xlarge,3.221000
m6g.metal,2.464000
t3a.2xlarge,0.300800
c5a.24xlarge,3.696000
c5a.4xlarge,0.616000
r5a.12xlarge,2.712000
x2gd.medium,0.083500
c5ad.4xlarge,0.688000
r6gd.xlarge,0.230400
g2.2xlarge,0.650000
m6g.large,0.077000
m5ad.8xlarge,1.074000
m6gd.16xlarge,2.892800
g4ad.16xlarge,3.468000
r5dn.12xlarge,4.008000
c6gn.2xlarge,0.345600
m5a.24xlarge,2.666000
r6gd.4xlarge,0.921600
m6gd.medium,0.045200
c6g.12xlarge,1.632000
m6gd.4xlarge,0.723200
c6gd.large,0.076800
c5a.16xlarge,2.464000
t4g.small,0.016800
m5dn.2xlarge,unavailable
r5b.4xlarge,1.192000
r5ad.large,0.131000
x2gd.8xlarge,2.672000
r5ad.8xlarge,2.096000
c6g.metal,2.176000
c6gd.8xlarge,1.228800
m6g.4xlarge,0.616000
r3.4xlarge,1.330000
m6gd.xlarge,0.180800
m5ad.12xlarge,1.610000
c5ad.large,0.086000
m5ad.16xlarge,2.147000
t4g.medium,0.033600
c5ad.2xlarge,0.344000
c5a.large,0.077000
x2gd.large,0.167000
r5dn.24xlarge,8.016000
t2.nano,0.005800
c6gn.4xlarge,0.691200
g2.8xlarge,2.600000
r3.8xlarge,2.660000
r6g.4xlarge,0.806400
t3a.small,0.018800
m1.large,0.175000
m2.4xlarge,0.980000
m6gd.metal,2.892800
m2.xlarge,0.245000
c1.medium,0.130000
x2gd.12xlarge,4.008000
r6gd.metal,3.686400
cc2.8xlarge,2.000000
c1.xlarge,0.520000
c5ad.12xlarge,2.064000
c6g.medium,0.034000
a1.medium,0.025500
m2.2xlarge,0.490000
x2gd.16xlarge,5.344000
r5ad.4xlarge,1.048000
c6g.large,0.068000
t3a.nano,0.004700
c6gd.4xlarge,0.614400
cr1.8xlarge,3.500000
r6gd.medium,0.057600
m5n.8xlarge,unavailable
m6gd.8xlarge,1.446400
a1.large,0.051000
t3a.xlarge,0.150400
c6g.8xlarge,1.088000
c6gn.16xlarge,2.764800
c6gn.medium,0.043200
m6g.12xlarge,1.848000
c6gn.large,0.086400
t3a.micro,0.009400
r6g.xlarge,0.201600
x2gd.4xlarge,1.336000
c6gn.metal,unavailable
t2.medium,0.046400
r6g.large,0.100800
a1.4xlarge,0.408000
t3a.large,0.075200
t4g.2xlarge,0.268800
hs1.8xlarge,4.600000
u-18tb1.metal,unavailable
t1.micro,0.020000
r6gd.large,0.115200
t4g.xlarge,0.134400
c6gd.xlarge,0.153600
t4g.nano,0.004200
u-24tb1.metal,unavailable
i2.large,unavailable
mac1.metal,unavailable
c5d.2xlarge,0.384000
c5d.xlarge,0.192000
c5.metal,4.080000
d3en.12xlarge,6.308640
d3en.8xlarge,4.205760
c5.9xlarge,1.530000
r5.metal,6.048000
m5.24xlarge,4.848000
m5d.24xlarge,5.856000
c4.8xlarge,1.591000
i3en.12xlarge,5.424000
i3en.metal,10.848000
m5zn.3xlarge,unavailable
m5d.12xlarge,2.928000
u-9tb1.112xlarge,81.900000
c5.large,0.085000
c5n.large,0.108000
c5.24xlarge,4.080000
c5.12xlarge,2.040000
c5.xlarge,0.170000
d2.8xlarge,5.520000
m6i.24xlarge,4.608000
i3en.3xlarge,1.356000
z1d.3xlarge,1.116000
m5.2xlarge,0.404000
c5.18xlarge,3.060000
x1e.16xlarge,13.344000
m6i.large,0.096000
c4.4xlarge,0.796000
i3en.xlarge,0.452000
i3.xlarge,0.312000
d3.2xlarge,0.999000
m5zn.metal,unavailable
i3.4xlarge,1.248000
i3en.2xlarge,0.904000
p3.2xlarge,3.060000
r5d.8xlarge,2.304000
r5.12xlarge,3.024000
u-12tb1.112xlarge,109.200000
h1.8xlarge,1.872000
r5d.24xlarge,6.912000
i3en.6xlarge,2.712000
r4.8xlarge,2.128000
x1.16xlarge,6.669000
c5d.18xlarge,3.456000
m4.xlarge,0.200000
m6i.16xlarge,3.072000
g3.16xlarge,4.560000
i3en.large,0.226000
u-6tb1.56xlarge,46.403910
c5n.4xlarge,0.864000
c4.xlarge,0.199000
x1e.4xlarge,3.336000
m5d.xlarge,0.244000
r5.8xlarge,2.016000
i3en.24xlarge,10.848000
c5n.18xlarge,3.888000
m5d.16xlarge,3.904000
m4.large,0.100000
t3.medium,0.041600
h1.4xlarge,0.936000
x1e.xlarge,0.834000
g4dn.8xlarge,2.176000
m5.large,0.121000
c5.4xlarge,0.680000
c4.large,0.100000
r5d.xlarge,0.288000
m4.4xlarge,0.800000
m5d.large,0.122000
m6i.8xlarge,1.536000
r5.2xlarge,0.504000
c5n.9xlarge,1.944000
c5d.24xlarge,4.608000
m5d.2xlarge,0.488000
m4.10xlarge,2.000000
c5d.large,0.096000
r5d.2xlarge,0.576000
r5d.metal,6.912000
x1.32xlarge,13.338000
c5n.2xlarge,0.432000
d3en.xlarge,0.526000
m5.metal,4.848000
m5.xlarge,0.202000
m5.12xlarge,2.424000
p3.16xlarge,24.480000
r5d.4xlarge,1.152000
m6i.4xlarge,0.768000
c5d.4xlarge,0.768000
r5.24xlarge,6.048000
r4.large,0.133000
d3en.2xlarge,1.051000
t3.2xlarge,0.332800
x1e.32xlarge,26.688000
c5n.xlarge,0.216000
p3dn.24xlarge,31.212000
p2.16xlarge,14.400000
m6i.xlarge,0.192000
x1e.2xlarge,1.668000
m6i.2xlarge,0.384000
m5.16xlarge,3.232000
c5d.9xlarge,1.728000
g3.4xlarge,1.140000
h1.2xlarge,0.468000
m4.16xlarge,3.200000
m5zn.6xlarge,unavailable
x1e.8xlarge,6.672000
d3en.6xlarge,3.154000
r5.xlarge,0.252000
c5d.metal,4.608000
m5d.8xlarge,1.952000
d2.xlarge,0.690000
c5.2xlarge,0.340000
g4dn.16xlarge,4.352000
m5.8xlarge,1.616000
r4.16xlarge,4.256000
z1d.2xlarge,0.744000
r4.2xlarge,0.532000
z1d.xlarge,0.372000
d3.8xlarge,3.995520
p2.8xlarge,7.200000
z1d.metal,4.464000
d2.2xlarge,1.380000
d2.4xlarge,2.760000
c4.2xlarge,0.398000
u-6tb1.112xlarge,54.600000
g4dn.metal,7.824000
z1d.6xlarge,2.232000
d3.4xlarge,1.998000
m5zn.12xlarge,unavailable
m5d.4xlarge,0.976000
r5.16xlarge,4.032000
t3.xlarge,0.166400
z1d.12xlarge,4.464000
r4.xlarge,0.266000
r5d.large,0.144000
m5.4xlarge,0.808000
i3.metal,4.992000
m5zn.2xlarge,unavailable
c5d.12xlarge,2.304000
p2.xlarge,0.900000
r4.4xlarge,1.064000
d3en.4xlarge,2.103000
f1.4xlarge,3.300000
f1.2xlarge,1.650000
m6i.32xlarge,6.144000
m5zn.large,unavailable
u-12tb1.metal,unavailable
m5d.metal,5.856000
h1.16xlarge,3.744000
m6i.12xlarge,2.304000
i3.large,0.156000
g3.8xlarge,2.280000
r5.4xlarge,1.008000
m5zn.xlarge,unavailable
t3.large,0.083200
r5.large,0.126000
m4.2xlarge,0.400000
z1d.large,0.186000
i3.16xlarge,4.992000
i3.8xlarge,2.496000
c5n.metal,3.888000
r5d.12xlarge,3.456000
i3.2xlarge,0.624000
g4dn.xlarge,0.526000
g4dn.4xlarge,1.204000
p3.8xlarge,12.240000
r5d.16xlarge,4.608000
vt1.3xlarge,0.650000
t3.nano,0.005200
d3.xlarge,0.499000
g4dn.2xlarge,0.752000
t3.micro,0.010400
u-6tb1.metal,unavailable
t3.small,0.020800
f1.16xlarge,13.200000
vt1.24xlarge,5.200000
vt1.6xlarge,1.300000
u-9tb1.metal,unavailable
g4dn.12xlarge,3.912000
p4d.24xlarge,32.772600
